time_us,clock,reset_n,enable,sram_0_out,inv1_dout1,inv1_dout2,inv1_dout3,inv1_dout4,inv2_vin1,inv2_vout1,inv2_vin2,inv2_vout2,counter2_value0,counter2_value1,counter2_value2,counter2_value3,counter2_value4,counter2_value5,counter2_value6,counter2_value7,counter1_value4_inv1_din1,counter1_value5_inv1_din2
1.192000000000000107e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199319510000000021e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500014980000000442e-01,5.371729889999999896e-01,7.500029959999999774e-01,5.371730319999999947e-01,4.199322650000000360e-09,4.199322650000000360e-09,4.199322650000000360e-09,4.199322650000000360e-09,4.199322650000000360e-09,4.199322650000000360e-09,4.199322650000000360e-09,4.199322650000000360e-09,4.293882409999999841e-09,4.293879959999999887e-09
1.447999999999999960e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199325699999999678e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500018200000000412e-01,5.371729840000000200e-01,7.500036389999999997e-01,5.371730209999999728e-01,4.199319460000000005e-09,4.199319460000000005e-09,4.199319460000000005e-09,4.199319460000000005e-09,4.199319460000000005e-09,4.199319460000000005e-09,4.199319460000000005e-09,4.199319460000000005e-09,4.293877900000000223e-09,4.293875989999999780e-09
1.959999999999999937e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199326430000000242e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500024629999999526e-01,5.371729269999999667e-01,7.500049260000000162e-01,5.371729069999999773e-01,4.199322760000000230e-09,4.199322760000000230e-09,4.199322760000000230e-09,4.199322760000000230e-09,4.199322760000000230e-09,4.199322760000000230e-09,4.199322760000000230e-09,4.199322760000000230e-09,4.293887090000000010e-09,4.293887120000000350e-09
2.984000000000000432e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199326930000000401e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500037499999999691e-01,5.371725510000000536e-01,7.500075000000000491e-01,5.371721560000000117e-01,4.199326170000000324e-09,4.199326170000000324e-09,4.199326170000000324e-09,4.199326170000000324e-09,4.199326170000000324e-09,4.199326170000000324e-09,4.199326170000000324e-09,4.199326170000000324e-09,4.293883810000000288e-09,4.293878270000000010e-09
5.031999999999999798e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199322670000000036e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500063230000000303e-01,5.371703060000000418e-01,7.500126470000000323e-01,5.371676640000000447e-01,4.199321409999999799e-09,4.199321409999999799e-09,4.199321409999999799e-09,4.199321409999999799e-09,4.199321409999999799e-09,4.199321409999999799e-09,4.199321409999999799e-09,4.199321409999999799e-09,4.293884309999999620e-09,4.293882120000000411e-09
7.808579649999999742e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199321680000000382e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500098130000000252e-01,5.371631780000000189e-01,7.500196249999999676e-01,5.371534089999999706e-01,4.199317699999999609e-09,4.199317699999999609e-09,4.199317699999999609e-09,4.199317699999999609e-09,4.199317699999999609e-09,4.199317699999999609e-09,4.199317699999999609e-09,4.199317699999999609e-09,4.293884010000000351e-09,4.293884010000000351e-09
1.336173889999999875e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199319500000000183e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500167909999999605e-01,5.371321300000000409e-01,7.500335820000000320e-01,5.370913139999999864e-01,4.199320730000000079e-09,4.199320730000000079e-09,4.199320730000000079e-09,4.199320730000000079e-09,4.199320730000000079e-09,4.199320730000000079e-09,4.199320730000000079e-09,4.199320730000000079e-09,4.293885929999999805e-09,4.293886250000000404e-09
1.962533739999999891e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199317999999999705e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500246619999999531e-01,5.370692759999999844e-01,7.500493240000000172e-01,5.369656120000000366e-01,4.199320470000000161e-09,4.199320470000000161e-09,4.199320470000000161e-09,4.199320470000000161e-09,4.199320470000000161e-09,4.199320470000000161e-09,4.199320470000000161e-09,4.199320470000000161e-09,4.293882319999999647e-09,4.293882630000000408e-09
2.203200000000000210e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199317610000000242e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500276860000000267e-01,5.370373499999999689e-01,7.500553720000000535e-01,5.369017640000000036e-01,4.199315360000000352e-09,4.199315360000000352e-09,4.199315360000000352e-09,4.199315360000000352e-09,4.199315360000000352e-09,4.199315360000000352e-09,4.199315360000000352e-09,4.199315360000000352e-09,4.293883489999999689e-09,4.293884690000000072e-09
2.328471969999999953e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199319560000000037e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500292600000000309e-01,5.370184989999999825e-01,7.500585210000000336e-01,5.368640649999999459e-01,1.397961389999999946e-08,4.199326330000000210e-09,4.199326330000000210e-09,4.199326330000000210e-09,4.199326330000000210e-09,4.199326330000000210e-09,4.199326330000000210e-09,4.199326330000000210e-09,4.293886880000000108e-09,4.293883229999999772e-09
